,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.49,0.1283202874,0.1283,100.0,12.832,10.0,10.1283202874,101.2832028744,,998.7168,128.3203,2021-11-01 16:53:07,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:53:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1283631136,0.0963,100.0,12.8363,10.0,10.0962723352,100.9627233518,,999.0373,128.3631,2021-11-01 16:50:33,Bank Account,Bank Account,0.12848681082886843,2021-11-01 16:50:33,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.49,0.1282412988,0.1898,110.0,14.1065,11.0,11.1897971223,111.8979712227,,998.102,128.2413,2021-11-01 16:58:21,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:21,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1282347208,0.1949,100.0,12.8235,10.0,10.1949167757,101.9491677567,,998.0508,128.2347,2021-11-01 16:51:01,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:51:01,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1280737705,0.3202,100.0,12.8074,10.0,10.3201844262,103.2018442623,,996.7982,128.0738,2021-11-01 16:57:39,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:57:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.49,0.1283548756,0.1014,100.0,12.8355,10.0,10.1014003517,101.0140035169,,998.986,128.3549,2021-11-01 16:53:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:53:09,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1282051282,0.2179,65.0,8.3333,6.5,6.7179487179,67.1794871795,,997.8205,128.2051,2021-11-01 16:58:08,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1279787043,0.3942,50.0,6.3989,5.0,5.3941744094,53.9417440938,,996.0583,127.9787,2021-11-01 16:58:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:09,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,1000,995.5,128.49,0.1284,0.0663,4.5,0.5778,0.4520341537,0.51628,5.1598174,,994.8402,127.8222,2021-11-01 16:52:19,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:52:19,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,1000,975.5,128.49,0.1284,0.0663,24.5,3.1458,2.5115325474,2.51628,25.1465614,,974.8534,125.2542,2021-11-01 16:52:19,Debit Card,Bank Account,0.12848515996402415,2021-11-01 16:52:19,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1283532281,0.1027,115.0,14.7606,11.5,11.6026825825,116.0268258247,,998.9732,128.3532,2021-11-01 16:51:10,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:51:10,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
11,Public Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1283861856,0.077,60.0,7.7032,6.0,6.0770317114,60.7703171139,,999.2297,128.3862,2021-11-01 16:51:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:51:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
12,Shanghai Commercial Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1282791354,0.1603,170.0,21.8075,17.0,17.1603489192,171.6034891925,,998.3965,128.2791,2021-11-01 16:53:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:53:09,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
