,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",50000,50000.0,6424.26,14.6220207633,0.2995,100.0,1462.2021,0.2,0.499454553,249.7272764789,,49850.2727,731101.0382,2021-11-01 17:08:06,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",50000,50000.0,6424.26,14.6556651474,0.07,100.0,1465.5665,0.2,0.2700496369,135.024818466,,49964.9752,732783.2574,2021-11-01 17:07:16,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",50000,50000.0,6424.26,14.6305779078,0.2411,110.0,1609.3636,0.22,0.4611074891,230.5537445265,,49879.4463,731528.8954,2021-11-01 17:14:57,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:14:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",50000,50000.0,6424.26,14.6070698218,0.4058,100.0,1460.707,0.2,0.6057604704,302.8802352077,,49797.1198,730353.4911,2021-11-01 17:05:21,Bank Account,Bank Account,14.666581009893358,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",50000,50000.0,6424.26,14.5878920496,0.5539,100.0,1458.7892,0.2,0.7539425225,376.9712612649,,49723.0287,729394.6025,2021-11-01 16:57:39,Bank Account,Bank Account,14.669150713092638,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",50000,50000.0,6424.26,14.5566764196,0.745,100.0,1455.6676,0.2,0.9450062867,472.5031433453,,49627.4969,727833.821,2021-11-01 17:08:08,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",50000,50000.0,6424.26,14.5815106445,0.5844,65.0,947.7982,0.13,0.7143832104,357.1916052012,,49707.8084,729075.5322,2021-11-01 17:13:09,Bank Account,Bank Account,14.667223435693177,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",50000,50000.0,6424.26,14.5518044237,0.7869,50.0,727.5902,0.1,0.8869179361,443.4589680544,,49606.541,727590.2212,2021-11-01 17:13:09,Bank Account,Bank Account,14.667223435693177,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",50000,50000.0,6424.26,14.6348602371,0.2119,115.0,1683.0089,0.23,0.4419083401,220.9541700335,,49894.0458,731743.0119,2021-11-01 17:06:09,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:05:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,OFX,Payment company,,50000,50000.0,6424.26,14.384975,1.9594,0.0,0.0,0.0,1.959447907,979.7239534986,,49020.276,719248.75,2021-11-01 14:14:21,Bank Account,Bank Account,14.67247449438491,2021-11-01 14:13:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
