,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",500,500.0,64.11,0.0967117988,0.2378,100.0,9.6712,20.0,20.2377806335,101.1889031673,Not specified,498.8111,48.3559,2021-12-13 09:08:07,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",500,500.0,64.11,0.0968007357,0.1322,100.0,9.6801,20.0,20.1322200523,100.6611002614,Not specified,499.3389,48.4004,2021-12-13 08:50:51,Bank Account,Bank Account,0.09692889512138778,2021-12-13 08:50:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",500,500.0,64.11,0.0965334826,0.3922,110.0,10.6187,22.0,22.3922449827,111.9612249134,Not specified,498.0388,48.2667,2021-12-13 08:43:58,Bank Account,Bank Account,0.09691362145614082,2021-12-13 08:43:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",500,500.0,64.11,0.0965241648,0.4112,100.0,9.6524,20.0,20.4112360402,102.056180201,Not specified,497.9438,48.2621,2021-12-13 09:06:25,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",500,500.0,64.11,0.0963069371,0.6417,100.0,9.6307,20.0,20.6416641579,103.2083207894,Not specified,496.7917,48.1535,2021-12-13 08:43:31,Bank Account,Bank Account,0.09692889512138778,2021-12-13 08:42:41,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",500,500.0,64.11,0.0963001483,0.6624,100.0,9.63,20.0,20.6624151836,103.3120759182,Not specified,496.6879,48.1501,2021-12-13 09:08:08,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",500,500.0,64.11,0.0963855422,0.5593,65.0,6.2651,13.0,13.5592935663,67.7964678313,Not specified,497.2035,48.1928,2021-12-13 08:58:08,Bank Account,Bank Account,0.09692765229187493,2021-12-13 08:57:39,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",500,500.0,64.11,0.0961630926,0.7888,50.0,4.8082,10.0,10.7887941869,53.9439709347,Not specified,496.056,48.0815,2021-12-13 08:58:08,Bank Account,Bank Account,0.09692765229187493,2021-12-13 08:57:39,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
8,InstaReM,Payment company,online,500,490.0,64.11,0.0968,0.1449,10.0,0.968,2.0408163265,2.1857596361,10.710222217,Not specified,489.2898,47.432,2021-12-13 08:52:07,Debit Card,Bank Account,0.09694050878177139,2021-12-13 08:51:40,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
9,InstaReM,Payment company,online,500,486.0,64.11,0.0968,0.1449,14.0,1.3552,2.8806584362,3.0256017458,14.7044244847,Not specified,485.2956,47.0448,2021-12-13 08:52:07,Bank Account,Bank Account,0.09694050878177139,2021-12-13 08:51:40,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",500,500.0,64.11,0.0965903603,0.3429,115.0,11.1079,23.0,23.3429389066,116.714694533,Not specified,498.2853,48.2952,2021-12-13 09:06:08,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
11,Public Bank Hong Kong,Payment company,"phone, online",500,500.0,64.11,0.0967155403,0.2138,60.0,5.8029,12.0,12.2137845274,61.0689226372,Not specified,498.9311,48.3578,2021-12-13 09:06:08,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
12,Shanghai Commercial Bank,Payment company,"phone, online",500,500.0,64.11,0.0965250965,0.4304,170.0,16.4093,34.0,34.4303717905,172.1518589527,Not specified,497.8481,48.2625,2021-12-13 09:08:13,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
13,Skrill,Payment company,,500,500.0,64.11,0.0941,2.8995,0.0,0.0,0.0,2.8994910304,14.4974551518,Within 24 hours,485.5025,47.05,2021-12-13 08:36:19,Debit Card,Bank Account,0.09690989367461726,2021-12-13 08:35:40,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
14,Skrill,Payment company,,500,500.0,64.11,0.0941,2.8995,9.9500500501,0.9363,1.99001001,4.8895010404,24.4475052018,Within 24 hours,485.5025,47.05,2021-12-13 08:36:19,Credit Card,Bank Account,0.09690989367461726,2021-12-13 08:35:40,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
15,Western Union,Payment company,"phone, online",500,500.0,64.11,0.0962543,0.6835,0.0,0.0,0.0,0.6835023968,3.4175119838,Within 24 hours,496.5825,48.1272,2021-12-13 08:49:30,Mobile Wallet,Bank Account,0.09691672815982591,2021-12-13 08:48:40,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",GB,GBP,
16,Western Union,Payment company,"phone, online",500,500.0,64.11,0.0954812,1.4812,15.0,1.4322,3.0,4.4811975054,22.405987527,Within 24 hours,492.594,47.7406,2021-12-13 08:49:30,Credit Card,Bank Account,0.09691672815982591,2021-12-13 08:48:40,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",GB,GBP,
17,Western Union,Payment company,"phone, online",500,500.0,64.11,0.0962543,0.6835,0.0,0.0,0.0,0.6835023968,3.4175119838,Within 24 hours,496.5825,48.1272,2021-12-13 08:49:30,Bank Account,Bank Account,0.09691672815982591,2021-12-13 08:48:40,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",GB,GBP,
18,Western Union,Payment company,"phone, online",500,500.0,64.11,0.0954812,1.4812,15.0,1.4322,3.0,4.4811975054,22.405987527,Within 24 hours,492.594,47.7406,2021-12-13 08:49:30,Debit Card,Bank Account,0.09691672815982591,2021-12-13 08:48:40,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': '', 'transfer_speed': '1 Business days'}",GB,GBP,
19,Wing Lung bank,Bank,"phone, online",500,500.0,64.11,0.0970685304,-0.1346,100.0,9.7069,20.0,19.8653701223,99.3268506115,Not specified,500.6731,48.5343,2021-12-13 08:57:07,Bank Account,Bank Account,0.09693802284086073,2021-12-13 08:56:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
20,Wirebarley Australia Pty Ltd,Payment company,,500,500.0,64.11,0.0956102,1.3723,20.0,1.9122,4.0,5.3722939961,26.8614699803,Not specified,493.1385,47.8051,2021-12-13 08:52:34,Bank Account,Bank Account,0.09694050878177139,2021-12-13 08:51:40,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
21,Wise,Payment company,online,500,482.68478,64.11,0.0969167,-0.0152,17.31522,1.6781,3.5872728367,3.5720494814,17.2417391807,Not specified,482.7583,46.7802,2021-12-13 07:58:41,Credit Card,Bank Account,0.09690194827207765,2021-12-13 07:58:39,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
22,Wise,Payment company,online,500,482.68478,64.11,0.0969167,-0.0152,17.31522,1.6781,3.5872728367,3.5720494814,17.2417391807,Not specified,482.7583,46.7802,2021-12-13 07:58:41,Debit Card,Bank Account,0.09690194827207765,2021-12-13 07:58:39,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
23,Wise,Payment company,online,500,495.81855,64.11,0.0969167,-0.0152,4.18145,0.4053,0.8433427914,0.8281194361,4.1059697803,Not specified,495.894,48.0531,2021-12-13 07:58:40,Bank Account,Bank Account,0.09690194827207765,2021-12-13 07:58:39,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
24,WorldRemit,Payment company,online,500,500.0,64.11,0.09456,2.125,25.0,2.364,5.0,7.1250350438,35.6251752192,Not specified,489.3748,47.28,2021-12-10 23:04:22,Debit Card,Bank Account,0.09661306141193017,2021-12-10 21:59:59,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
25,WorldRemit,Payment company,online,500,500.0,64.11,0.09486,2.1316,25.0,2.3715,5.0,7.1315729646,35.657864823,Within 24 hours,489.3421,47.43,2021-12-13 07:18:28,Debit Card,Bank Account,0.09692604946607365,2021-12-13 07:17:39,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",GB,GBP,
26,WorldRemit,Payment company,online,500,500.0,64.11,0.09486,2.1316,25.0,2.3715,5.0,7.1315729646,35.657864823,Within 24 hours,489.3421,47.43,2021-12-13 07:18:28,Credit Card,Bank Account,0.09692604946607365,2021-12-13 07:17:39,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",GB,GBP,
27,WorldRemit,Payment company,online,500,500.0,64.11,0.09456,2.125,25.0,2.364,5.0,7.1250350438,35.6251752192,Not specified,489.3748,47.28,2021-12-10 23:04:22,Credit Card,Bank Account,0.09661306141193017,2021-12-10 21:59:59,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
