,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,642.35,0.8196721311,0.2954,100.0,81.9672,2.0,2.2953632656,114.7681632781,,4985.2318,4098.3607,2021-11-05 16:23:06,Bank Account,Bank Account,0.8221003134796239,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
1,Chong Hing Bank,Bank,"phone, online",5000,5000.0,642.35,0.8165264963,0.6831,110.0,89.8179,2.2,2.8831013786,144.1550689307,,4965.8449,4082.6325,2021-11-05 16:17:50,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:16:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
2,CITIC Bank,Payment company,"phone, online",5000,5000.0,642.35,0.8160933611,0.7358,100.0,81.6093,2.0,2.7357850887,136.7892544329,,4963.2107,4080.4668,2021-11-05 16:21:37,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
3,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,642.35,0.8171269815,0.5998,100.0,81.7127,2.0,2.5998464697,129.9923234835,,4970.0077,4085.6349,2021-11-05 16:12:38,Bank Account,Bank Account,0.8220580678314492,2021-11-05 16:11:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
4,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,642.35,0.81799591,0.4993,100.0,81.7996,2.0,2.4992582282,124.9629114104,,4975.0371,4089.9796,2021-11-05 16:23:08,Bank Account,Bank Account,0.8221003134796239,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
5,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,642.35,0.8159934721,0.7473,65.0,53.0396,1.3,2.0472973269,102.3648663438,,4962.6351,4079.9674,2021-11-05 16:13:08,Bank Account,Bank Account,0.8221372819837472,2021-11-05 16:12:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
6,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,642.35,0.8169934641,0.6263,50.0,40.8497,1.0,1.6263024987,81.3151249342,,4968.6849,4084.9673,2021-11-05 16:14:58,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
7,InstaReM,Payment company,online,5000,4862.5,642.35,0.8212,0.1146,137.5,112.915,2.8277634961,2.864647205,143.0747203426,,4856.9253,3993.085,2021-11-05 16:21:49,Debit Card,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
8,InstaReM,Payment company,online,5000,4962.5,642.35,0.8212,0.1146,37.5,30.795,0.7556675063,0.864647205,43.1893675475,,4956.8106,4075.205,2021-11-05 16:21:48,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
9,MoneyGram,Payment company,online,5000,5000.0,642.35,0.81246,1.1827,8.0,6.4997,0.16,1.3426822823,67.1341141174,,4940.8659,4062.3,2021-11-05 08:41:06,Credit Card,Bank Account,0.8221838223958066,2021-11-05 08:40:52,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
10,MoneyGram,Payment company,online,5000,5000.0,642.35,0.7958427204,3.1989,115.0,91.5219,2.3,5.4989394879,274.9469743972,,4840.053,3979.2136,2021-11-05 16:21:10,Cash,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'cash', 'pay_out_method': 'All Other Banks', 'location_from': '', 'location_to': ''}",CN,CNY,
11,MoneyGram,Payment company,online,5000,5000.0,642.35,0.81246,1.1827,8.0,6.4997,0.16,1.3426822823,67.1341141174,,4940.8659,4062.3,2021-11-05 08:41:06,Debit Card,Bank Account,0.8221838223958066,2021-11-05 08:40:52,Not specified,"{'pay_in_method': 'debitCard', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
12,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",5000,5000.0,642.35,0.8196721311,0.3005,115.0,94.2623,2.3,2.600487097,130.024354852,,4984.9756,4098.3607,2021-11-05 16:21:09,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
13,OFX,Payment company,,5000,5000.0,642.35,0.78865,4.1157,60.0,47.319,1.2,5.3157486119,265.7874305973,,4794.2126,3943.25,2021-11-05 13:07:17,Bank Account,Bank Account,0.8225021195694062,2021-11-05 13:06:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
14,Public Bank Hong Kong,Payment company,"phone, online",5000,5000.0,642.35,0.8182676619,0.4713,60.0,49.0961,1.2,1.6713174751,83.5658737539,,4976.4341,4091.3383,2021-11-05 16:21:08,Bank Account,Bank Account,0.8221425634700381,2021-11-05 16:20:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
