,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12848.52,0.0937207123,0.32,100.0,9.3721,0.1,0.4200044201,420.0044200899,,99679.9956,9372.0712,2021-11-01 16:53:07,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.0937294967,0.3009,100.0,9.3729,0.1,0.4009065801,400.9065800906,,99699.0934,9372.9497,2021-11-01 16:50:33,Bank Account,Bank Account,0.09401238612856391,2021-11-01 16:49:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12848.52,0.0937558597,0.3009,110.0,10.3131,0.11,0.4108787538,410.8787537679,,99699.1212,9375.586,2021-11-01 16:58:21,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.0935970274,0.437,100.0,9.3597,0.1,0.5369957302,536.9957302045,,99563.0043,9359.7027,2021-11-01 16:51:01,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.0934762897,0.5872,100.0,9.3476,0.1,0.6871688865,687.1688865375,,99412.8311,9347.629,2021-11-01 16:57:39,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12848.52,0.0933314667,0.734,100.0,9.3331,0.1,0.8340003885,834.0003884791,,99265.9996,9333.1467,2021-11-01 16:53:09,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.0934404784,0.6363,65.0,6.0736,0.065,0.7012523629,701.2523628937,,99363.7476,9344.0478,2021-11-01 16:58:08,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.0932835821,0.8031,50.0,4.6642,0.05,0.8530944765,853.0944764634,,99196.9055,9328.3582,2021-11-01 16:58:09,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,100000,99700.0,12848.52,0.0939,0.1365,300.0,28.17,0.3009027081,0.4365494115,436.1397633034,,99563.8602,9361.83,2021-11-01 16:52:15,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:51:51,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.0937031484,0.3241,115.0,10.7759,0.115,0.4391103899,439.1103899061,,99675.8896,9370.3148,2021-11-01 16:51:10,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
