,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,642.43,0.0937207123,0.32,100.0,9.3721,2.0,2.3200044201,116.0002210045,,4983.9998,468.6036,2021-11-01 16:53:07,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",5000,5000.0,642.43,0.0937294967,0.3009,100.0,9.3729,2.0,2.3009065801,115.0453290045,,4984.9547,468.6475,2021-11-01 16:50:33,Bank Account,Bank Account,0.09401238612856391,2021-11-01 16:49:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",5000,5000.0,642.43,0.0937558597,0.3009,110.0,10.3131,2.2,2.5008787538,125.0439376884,,4984.9561,468.7793,2021-11-01 16:58:21,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",5000,5000.0,642.43,0.0935970274,0.437,100.0,9.3597,2.0,2.4369957302,121.8497865102,,4978.1502,467.9851,2021-11-01 16:51:01,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,642.43,0.0934762897,0.5872,100.0,9.3476,2.0,2.5871688865,129.3584443269,,4970.6416,467.3814,2021-11-01 16:57:39,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,642.43,0.0933314667,0.734,100.0,9.3331,2.0,2.7340003885,136.700019424,,4963.3,466.6573,2021-11-01 16:53:09,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,642.43,0.0934404784,0.6363,65.0,6.0736,1.3,1.9362523629,96.8126181447,,4968.1874,467.2024,2021-11-01 16:58:08,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,642.43,0.0932835821,0.8031,50.0,4.6642,1.0,1.8030944765,90.1547238232,,4959.8453,466.4179,2021-11-01 16:58:09,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,5000,4882.5,642.43,0.0939,0.1365,117.5,11.0333,2.4065540195,2.4865494115,124.1670250183,,4875.833,458.4668,2021-11-01 16:52:16,Debit Card,Bank Account,0.09402839522035204,2021-11-01 16:51:51,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,5000,4982.5,642.43,0.0939,0.1365,17.5,1.6433,0.3512293026,0.4865494115,24.3035744299,,4975.6964,467.8568,2021-11-01 16:52:15,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:51:51,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
