,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.84,0.8183306056,0.3031,100.0,81.8331,100.0,100.3031203989,100.3031203989,,99.6969,81.8331,2021-11-08 16:23:29,Bank Account,Bank Account,0.8208186744048689,2021-11-08 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
1,Chong Hing Bank,Bank,"phone, online",100,100.0,12.84,0.8155941603,0.6378,110.0,89.7154,110.0,110.6377762105,110.6377762105,,99.3622,81.5594,2021-11-08 16:20:17,Bank Account,Bank Account,0.8208292138005417,2021-11-08 16:19:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
2,CITIC Bank,Payment company,"phone, online",100,100.0,12.84,0.8144980656,0.7637,100.0,81.4498,100.0,100.763666631,100.763666631,,99.2363,81.4498,2021-11-08 16:36:05,Bank Account,Bank Account,0.8207659814859989,2021-11-08 16:35:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
3,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.8158603247,0.6041,100.0,81.586,100.0,100.6040736946,100.6040736946,,99.3959,81.586,2021-11-08 16:24:13,Bank Account,Bank Account,0.8208186744048689,2021-11-08 16:23:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
4,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.84,0.8175946366,0.3928,100.0,81.7595,100.0,100.3927831964,100.3927831964,,99.6072,81.7595,2021-11-08 16:23:28,Bank Account,Bank Account,0.8208186744048689,2021-11-08 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
5,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.84,0.8145975888,0.7515,65.0,52.9488,65.0,65.7515409793,65.7515409793,,99.2485,81.4598,2021-11-08 16:29:13,Bank Account,Bank Account,0.8207659814859989,2021-11-08 16:28:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
6,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.8151952393,0.6787,50.0,40.7598,50.0,50.6787247951,50.6787247951,,99.3213,81.5195,2021-11-08 16:29:19,Bank Account,Bank Account,0.8207659814859989,2021-11-08 16:28:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
7,InstaReM,Payment company,online,100,98.0,12.84,0.8197,0.1356,2.0,1.6394,2.0408163265,2.1356465187,2.1329335883,,97.8671,80.3306,2021-11-08 16:22:28,Debit Card,Bank Account,0.8208134048085256,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
8,InstaReM,Payment company,online,100,92.51,12.84,0.8197,0.1356,7.49,6.1396,8.0964220084,7.6256465187,7.6154865944,,92.3845,75.8304,2021-11-08 16:22:28,Bank Account,Bank Account,0.8208134048085256,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
9,MoneyGram,Payment company,online,100,100.0,12.84,0.812439,1.1841,8.0,6.4995,8.0,9.1840864352,9.1840864352,,98.8159,81.2439,2021-11-06 20:31:46,Credit Card,Bank Account,0.8221742538128461,2021-11-05 20:59:06,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
10,MoneyGram,Payment company,online,100,100.0,12.84,0.7954096599,3.0987,92.0,73.1777,92.0,95.0986803582,95.0986803582,,96.9013,79.541,2021-11-08 16:14:50,Cash,Bank Account,0.8208450234015369,2021-11-08 16:13:52,Not specified,"{'pay_in_method': 'cash', 'pay_out_method': 'All Other Banks', 'location_from': '', 'location_to': ''}",CN,CNY,
11,MoneyGram,Payment company,online,100,100.0,12.84,0.812439,1.1841,8.0,6.4995,8.0,9.1840864352,9.1840864352,,98.8159,81.2439,2021-11-06 20:31:46,Debit Card,Bank Account,0.8221742538128461,2021-11-05 20:59:06,Not specified,"{'pay_in_method': 'debitCard', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
12,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.8183306056,0.3025,115.0,94.108,115.0,115.3024803481,115.3024803481,,99.6975,81.8331,2021-11-08 16:22:10,Bank Account,Bank Account,0.8208134048085256,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
13,Public Bank Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.8169340628,0.4726,60.0,49.016,60.0,60.4726216683,60.4726216683,,99.5274,81.6934,2021-11-08 16:22:19,Bank Account,Bank Account,0.8208134048085256,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
14,Shanghai Commercial Bank,Payment company,"phone, online",100,100.0,12.84,0.8146639511,0.7498,170.0,138.4929,170.0,170.7498273951,170.7498273951,,99.2502,81.4664,2021-11-08 16:23:51,Bank Account,Bank Account,0.8208186744048689,2021-11-08 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
15,Western Union,Payment company,"phone, online",100,100.0,12.84,0.8115875,1.1221,0.0,0.0,0.0,1.122091057,1.122091057,1 Business days,98.8779,81.1588,2021-11-08 15:49:03,Debit Card,Bank Account,0.8207975964254531,2021-11-08 15:48:52,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",CN,CNY,
16,Western Union,Payment company,"phone, online",100,100.0,12.84,0.8124089,1.022,0.0,0.0,0.0,1.0220176645,1.0220176645,1 Business days,98.978,81.2409,2021-11-08 15:49:03,Bank Account,Bank Account,0.8207975964254531,2021-11-08 15:48:52,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",CN,CNY,
17,Western Union,Payment company,"phone, online",100,100.0,12.84,0.8124089,1.022,0.0,0.0,0.0,1.0220176645,1.0220176645,1 Business days,98.978,81.2409,2021-11-08 15:49:03,Mobile Wallet,Bank Account,0.8207975964254531,2021-11-08 15:48:52,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",CN,CNY,
18,Western Union,Payment company,"phone, online",100,100.0,12.84,0.8115875,1.1221,0.0,0.0,0.0,1.122091057,1.122091057,1 Business days,98.8779,81.1588,2021-11-08 15:49:03,Credit Card,Bank Account,0.8207975964254531,2021-11-08 15:48:52,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",CN,CNY,
19,Wing Lung bank,Bank,"phone, online",100,100.0,12.84,0.823723229,-0.359,100.0,82.3723,100.0,99.6409851651,99.6409851651,,100.359,82.3723,2021-11-08 16:28:49,Bank Account,Bank Account,0.8207765195285417,2021-11-08 16:27:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
