,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,641.82,14.4927536232,0.9035,100.0,1449.2754,2.0,2.9035311179,145.1765558959,,4954.8234,72463.7681,2021-11-10 17:53:07,Bank Account,Bank Account,14.624894092274513,2021-11-10 17:52:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
1,China Construction Bank,Payment company,"phone, online",5000,5000.0,641.82,14.5930011966,0.2356,100.0,1459.3001,2.0,2.2355867116,111.7793355795,,4988.2207,72965.006,2021-11-10 17:41:54,Bank Account,Bank Account,14.627461552286324,2021-11-10 17:41:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
2,Chong Hing Bank,Bank,"phone, online",5000,5000.0,641.82,14.4885540423,0.9445,110.0,1593.7409,2.2,3.1445489487,157.2274474362,,4952.7726,72442.7702,2021-11-10 17:59:05,Bank Account,Bank Account,14.626710482400965,2021-11-10 17:58:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
3,CITIC Bank,Payment company,"phone, online",5000,5000.0,641.82,14.573010784,0.4021,100.0,1457.3011,2.0,2.4020979868,120.1048993405,,4979.8951,72865.0539,2021-11-10 18:06:23,Bank Account,Bank Account,14.631845138764088,2021-11-10 18:06:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
4,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,641.82,14.5433391507,0.5738,100.0,1454.3339,2.0,2.5738227655,128.6911382774,,4971.3089,72716.6958,2021-11-10 17:45:28,Bank Account,Bank Account,14.627273777583794,2021-11-10 17:45:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,641.82,14.4540001445,1.1685,100.0,1445.4,2.0,3.1685140874,158.4257043696,,4941.5743,72270.0007,2021-11-10 17:53:07,Bank Account,Bank Account,14.624894092274513,2021-11-10 17:52:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
6,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,641.82,14.5348837209,0.616,65.0,944.7674,1.3,1.9159943172,95.7997158598,,4969.2003,72674.4186,2021-11-10 17:58:07,Bank Account,Bank Account,14.62497272178791,2021-11-10 17:57:15,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
7,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,641.82,14.5116819039,0.7746,50.0,725.5841,1.0,1.7746395156,88.7319757822,,4961.268,72558.4095,2021-11-10 17:58:07,Bank Account,Bank Account,14.62497272178791,2021-11-10 17:57:15,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",5000,5000.0,641.82,14.6006716309,0.2306,115.0,1679.0772,2.3,2.5305581869,126.5279093462,,4988.4721,73003.3582,2021-11-10 18:06:08,Bank Account,Bank Account,14.63441246694565,2021-11-10 18:05:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
9,OFX,Payment company,,5000,5000.0,641.82,14.2637,2.5075,60.0,855.822,1.2,3.7075009958,185.3750497916,,4874.625,71318.5,2021-11-10 18:03:23,Bank Account,Bank Account,14.630561474673307,2021-11-10 18:03:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
