,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",7500,7500.0,962.42,14.530659692,0.1915,100.0,1453.066,1.3333333333,1.5247957666,114.3596824978,Not specified,7485.6403,108979.9477,2021-12-03 08:53:06,Bank Account,Bank Account,14.558533815045594,2021-12-03 08:52:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
1,China Construction Bank,Payment company,"phone, online",7500,7500.0,962.42,14.5336162544,0.1055,100.0,1453.3616,1.3333333333,1.4388374525,107.9128089423,Not specified,7492.0872,109002.1219,2021-12-03 09:01:20,Bank Account,Bank Account,14.548966012845437,2021-12-03 09:00:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
2,Chong Hing Bank,Bank,"phone, online",7500,7500.0,962.42,14.5116819039,0.2607,110.0,1596.285,1.4666666667,1.7274129511,129.5559713331,Not specified,7480.444,108837.6143,2021-12-03 09:02:43,Bank Account,Bank Account,14.549619496169296,2021-12-03 09:01:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
3,CITIC Bank,Payment company,"phone, online",7500,7500.0,962.42,14.4969556393,0.3255,100.0,1449.6956,1.3333333333,1.6588487312,124.4136548416,Not specified,7475.5863,108727.1673,2021-12-03 09:05:18,Bank Account,Bank Account,14.544299573943842,2021-12-03 09:04:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
4,DBS Hong Kong,Payment company,"phone, online",7500,7500.0,962.42,14.465499783,0.5737,100.0,1446.55,1.3333333333,1.9070251665,143.0268874886,Not specified,7456.9731,108491.2484,2021-12-03 09:01:28,Bank Account,Bank Account,14.548966012845437,2021-12-03 09:00:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",7500,7500.0,962.42,14.4776465138,0.5556,100.0,1447.7647,1.3333333333,1.8889339335,141.6700450182,Not specified,7458.33,108582.3489,2021-12-03 08:53:07,Bank Account,Bank Account,14.558533815045594,2021-12-03 08:52:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
6,Hang Seng Bank,Payment company,"phone, online",7500,7500.0,962.42,14.4696860078,0.5188,65.0,940.5296,0.8666666667,1.385420901,103.9065675707,Not specified,7461.0934,108522.6451,2021-12-03 08:58:08,Bank Account,Bank Account,14.54513953503295,2021-12-03 08:57:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
7,HSBC Hong Kong,Payment company,"phone, online",7500,7500.0,962.42,14.438348253,0.7342,50.0,721.9174,0.6666666667,1.4008726316,105.0654473695,Not specified,7444.9346,108287.6119,2021-12-03 08:58:29,Bank Account,Bank Account,14.54513953503295,2021-12-03 08:57:56,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",7500,7500.0,962.42,14.5264381174,0.2405,115.0,1670.5404,1.5333333333,1.7738581676,133.0393625759,Not specified,7481.9606,108948.2859,2021-12-03 08:51:09,Bank Account,Bank Account,14.561462049847274,2021-12-03 08:50:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
9,OFX,Payment company,,7500,7500.0,962.42,14.166825,2.4993,60.0,850.0095,0.8,3.2992783946,247.4458795938,Not specified,7312.5541,106251.1875,2021-12-03 06:11:36,Bank Account,Bank Account,14.5299693855939,2021-12-03 06:10:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
10,Public Bank Hong Kong,Payment company,"phone, online",7500,7500.0,962.42,14.5321378228,0.0868,60.0,871.9283,0.8,0.8868242503,66.5118187745,Not specified,7493.4882,108991.0337,2021-12-03 09:06:08,Bank Account,Bank Account,14.544766207016034,2021-12-03 09:05:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
11,Shanghai Commercial Bank,Payment company,"phone, online",7500,7500.0,962.42,14.5137880987,0.3074,170.0,2467.344,2.2666666667,2.5740170972,193.0512822859,Not specified,7476.9487,108853.4107,2021-12-03 08:53:10,Bank Account,Bank Account,14.558533815045594,2021-12-03 08:52:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
12,Wing Lung bank,Bank,"phone, online",7500,7500.0,962.42,14.5772594752,-0.1785,100.0,1457.7259,1.3333333333,1.1548525465,86.6139409926,Not specified,7513.3861,109329.4461,2021-12-03 08:57:08,Bank Account,Bank Account,14.551288221516346,2021-12-03 08:56:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
13,Wirebarley Australia Pty Ltd,Payment company,,7500,7500.0,962.42,14.3971208,1.1162,20.0,287.9424,0.2666666667,1.3828322153,103.7124161444,Not specified,7416.2876,107978.406,2021-12-03 08:52:13,Bank Account,Bank Account,14.559630378284723,2021-12-03 08:51:55,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
14,Wise,Payment company,online,7500,7449.04752,962.42,14.5453,0.0077,50.95248,741.1191,0.6840133569,0.6917328549,51.5275090738,Not specified,7448.4725,108348.6309,2021-12-03 08:59:06,Bank Account,Bank Account,14.546422910824633,2021-12-03 08:58:56,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
15,Wise,Payment company,online,7500,7252.17494,962.42,14.5453,0.0077,247.82506,3604.6898,3.4172515425,3.4249710405,248.3848914989,Not specified,7251.6151,105485.0602,2021-12-03 08:59:06,Debit Card,Bank Account,14.546422910824633,2021-12-03 08:58:56,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
16,Wise,Payment company,online,7500,7252.17494,962.42,14.5453,0.0077,247.82506,3604.6898,3.4172515425,3.4249710405,248.3848914989,Not specified,7251.6151,105485.0602,2021-12-03 08:59:07,Credit Card,Bank Account,14.546422910824633,2021-12-03 08:58:56,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
17,Xendpay,Payment company,"phone, online",7500,7500.0,962.42,14.48419,0.502,0.0,0.0,0.0,0.5020499224,37.6537441807,Not specified,7462.3463,108631.425,2021-12-03 08:46:16,Bank Account,Bank Account,14.557274786771833,2021-12-03 08:45:54,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
