,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.84,0.1105950011,0.1294,100.0,11.0595,100.0,100.1293812844,100.1293812844,,99.8706,11.0595,2021-11-09 19:53:06,Bank Account,Bank Account,0.11073827570936211,2021-11-09 19:52:11,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
1,China Construction Bank,Payment company,"phone, online",100,100.0,12.84,0.110613351,0.1128,100.0,11.0613,100.0,100.1128107487,100.1128107487,,99.8872,11.0613,2021-11-09 19:53:00,Bank Account,Bank Account,0.11073827570936211,2021-11-09 19:52:11,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
2,Chong Hing Bank,Bank,"phone, online",100,100.0,12.84,0.1102754681,0.3922,110.0,12.1303,110.0,110.3921815269,110.3921815269,,99.6078,11.0275,2021-11-09 20:00:26,Bank Account,Bank Account,0.11070965091875308,2021-11-09 20:00:10,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
3,CITIC Bank,Payment company,"phone, online",100,100.0,12.84,0.110307095,0.3795,100.0,11.0307,100.0,100.3795454373,100.3795454373,,99.6205,11.0307,2021-11-09 19:53:46,Bank Account,Bank Account,0.11072735557823261,2021-11-09 19:53:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
4,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.1100243154,0.6233,100.0,11.0024,100.0,100.6233018901,100.6233018901,,99.3767,11.0024,2021-11-09 19:59:44,Bank Account,Bank Account,0.11071440032347298,2021-11-09 19:59:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.84,0.1105619866,0.1592,100.0,11.0562,100.0,100.1591943982,100.1591943982,,99.8408,11.0562,2021-11-09 19:53:07,Bank Account,Bank Account,0.11073827570936211,2021-11-09 19:52:11,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
6,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.84,0.1101806963,0.485,65.0,7.1617,65.0,65.485046248,65.485046248,,99.515,11.0181,2021-11-09 19:58:06,Bank Account,Bank Account,0.11071772853007811,2021-11-09 19:57:11,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
7,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.1098623425,0.7696,50.0,5.4931,50.0,50.7695998317,50.7695998317,,99.2304,10.9862,2021-11-09 19:59:54,Bank Account,Bank Account,0.11071440032347298,2021-11-09 19:59:14,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
8,InstaReM,Payment company,online,100,98.0,12.84,0.1106,0.1113,2.0,0.2212,2.0408163265,2.1112580847,2.109032923,,97.891,10.8388,2021-11-09 19:51:59,Debit Card,Bank Account,0.11072318849881267,2021-11-09 19:51:14,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
9,InstaReM,Payment company,online,100,96.01,12.84,0.1106,0.1113,3.99,0.4413,4.1558171024,4.1012580847,4.0968188871,,95.9032,10.6187,2021-11-09 19:51:59,Bank Account,Bank Account,0.11072318849881267,2021-11-09 19:51:14,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
