,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",50000,50000.0,6424.26,0.1107419712,0.0622,100.0,11.0742,0.2,0.262176786,131.0883930169,,49968.9116,5537.0986,2021-11-01 17:08:06,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",50000,50000.0,6424.26,0.1106635386,0.133,100.0,11.0664,0.2,0.3329574142,166.4787071115,,49933.5213,5533.1769,2021-11-01 17:07:16,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",50000,50000.0,6424.26,0.1106586402,0.1675,110.0,12.1725,0.22,0.387474376,193.7371879798,,49916.2628,5532.932,2021-11-01 16:58:21,Bank Account,Bank Account,0.1108442759861236,2021-11-01 16:57:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",50000,50000.0,6424.26,0.1104106171,0.374,100.0,11.0411,0.2,0.5740258243,287.0129121445,,49812.9871,5520.5309,2021-11-01 17:05:21,Bank Account,Bank Account,0.11082513169728896,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",50000,50000.0,6424.26,0.1101418627,0.6337,100.0,11.0142,0.2,0.833693766,416.8468830223,,49683.1531,5507.0931,2021-11-01 16:57:39,Bank Account,Bank Account,0.1108442759861236,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",50000,50000.0,6424.26,0.1105131124,0.2687,100.0,11.0513,0.2,0.4687078119,234.3539059691,,49865.6461,5525.6556,2021-11-01 17:08:08,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",50000,50000.0,6424.26,0.1102292769,0.5506,65.0,7.1649,0.13,0.6805663757,340.283187827,,49724.7168,5511.4638,2021-11-01 17:13:09,Bank Account,Bank Account,0.11083952203520493,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",50000,50000.0,6424.26,0.1100110011,0.7475,50.0,5.5006,0.1,0.8474959472,423.7479735936,,49626.252,5500.5501,2021-11-01 17:13:09,Bank Account,Bank Account,0.11083952203520493,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,50000,49800.0,6424.26,0.1107,0.1001,200.0,22.14,0.4016064257,0.500053221,249.8265040739,,49750.1735,5512.86,2021-11-01 17:06:59,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,MoneyGram,Payment company,online,50000,50000.0,6424.26,0.110062,0.9344,8.0,0.8805,0.016,0.9503598854,475.179942702,,49532.8201,5503.1,2021-11-01 10:00:15,Debit Card,Bank Account,0.11110007452905349,2021-11-01 09:59:52,Not specified,"{'pay_in_method': 'debitCard', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}",
